Notes,StopEpoch,MaxEpochs,File,Time,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,Y_EVAL,Y_PRED,SizeTrain,SizeEval,TestSize,PositiveShareTraining,PositiveShareTesting,F1
MULTICLASS | BATCH_SIZE: 1024 | 32 - 64 - 32 | with address information,4,100,all/Connection.csv,812.2945938110352,0,0,9792823,77118,0.9829569863979501,nan,0.0,"=""{0: 9792823, 1: 77118, 2: 1749, 3: 4, 4: 68027, 5: 22895}""","=""{0: 9962616}""",29887846,9962616,0.25,1.70%,1.70%,0
MULTICLASS | BATCH_SIZE: 1024 | 32 - 64 - 32 | with address information | with class weights,9,100,all/Connection.csv,1624.8330252170563,76940,18963,9172318,32,0.937276815647617,0.8022689592609199,0.9995842644078367,"=""{0: 9793366, 1: 76973, 2: 1695, 3: 3, 4: 67678, 5: 22901}""","=""{0: 9175977, 1: 95919, 2: 3706, 4: 651397, 5: 35617}""",29887846,9962616,0.25,1.71%,1.70%,0.8901229211858279
MULTICLASS | BATCH_SIZE: 1024 | 32 - 64 - 32 | with address information | with tweaked class weights,6,100,all/Connection.csv,1159.921133518219,76299,307446,8400323,996,0.8597397510854579,0.19882734628464213,0.9871143023481467,"=""{0: 9792864, 1: 77314, 2: 1740, 3: 2, 4: 67904, 5: 22792}""","=""{0: 8403975, 1: 384453, 2: 221866, 4: 81630, 5: 870692}""",29887846,9962616,0.25,1.70%,1.70%,0.3309864653826132
MULTICLASS | BATCH_SIZE: 1024 | 32 - 64 - 32 | without address information,4,100,all/Connection.csv,787.6954081058502,0,0,9792199,77271,0.9828943522464381,nan,0.0,"=""{0: 9792199, 1: 77271, 2: 1733, 3: 6, 4: 68491, 5: 22916}""","=""{0: 9962616}""",29887846,9962616,0.25,1.70%,1.71%,0
MULTICLASS | BATCH_SIZE: 1024 | 32 - 64 - 32 | without address information | with class weights,5,100,all/Connection.csv,966.6914558410645,70459,7737,6613798,6,0.6739762929736527,0.9010563200163691,0.9999148513446392,"=""{0: 9793228, 1: 77073, 2: 1679, 3: 4, 4: 67728, 5: 22904}""","=""{0: 6674278, 1: 78218, 2: 1746286, 4: 1239504, 5: 224330}""",29887846,9962616,0.25,1.71%,1.70%,0.9479150550581525
MULTICLASS | BATCH_SIZE: 1024 | 32 - 64 - 32 | without address information | with tweaked class weights,11,100,all/Connection.csv,1890.1737101078033,77131,8653,8540720,25,0.8739714548869494,0.8991303739625105,0.9996759811291409,"=""{0: 9793074, 1: 77219, 2: 1682, 3: 6, 4: 67699, 5: 22936}""","=""{0: 8543348, 1: 85813, 2: 9390, 4: 547582, 5: 776483}""",29887846,9962616,0.25,1.71%,1.70%,0.946741131704922
MULTICLASS | BATCH_SIZE: 1024 | 64 - 128 - 64 | with address information,4,100,all/Connection.csv,1176.762356519699,0,0,9792962,77125,0.9829709385567004,nan,0.0,"=""{0: 9792962, 1: 77125, 2: 1771, 3: 10, 4: 67971, 5: 22777}""","=""{0: 9962616}""",29887846,9962616,0.25,1.71%,1.70%,0
MULTICLASS | BATCH_SIZE: 1024 | 64 - 128 - 64 | with address information | with class weights,4,100,all/Connection.csv,1153.582265138626,77599,9792321,0,0,0.007789018466635671,0.007862171121954382,1.0,"=""{0: 9792321, 1: 77599, 2: 1744, 3: 3, 4: 68033, 5: 22916}""","=""{1: 9962616}""",29887846,9962616,0.25,1.70%,1.71%,0.015601679172465011
MULTICLASS | BATCH_SIZE: 1024 | 64 - 128 - 64 | with address information | with tweaked class weights,5,100,all/Connection.csv,1462.1889598369598,37,5432,9787779,76923,0.9824544075572119,0.006765405010056683,0.0004807692307692308,"=""{0: 9793211, 1: 76960, 2: 1737, 3: 3, 4: 67887, 5: 22818}""","=""{0: 9957116, 1: 5500}""",29887846,9962616,0.25,1.71%,1.70%,0.0008977422994334519
MULTICLASS | BATCH_SIZE: 1024 | 64 - 128 - 64 | without address information,4,100,all/Connection.csv,1121.4316058158875,0,0,9792137,77459,0.982888128981384,nan,0.0,"=""{0: 9792137, 1: 77459, 2: 1756, 3: 3, 4: 68189, 5: 23072}""","=""{0: 9962616}""",29887846,9962616,0.25,1.70%,1.71%,0
MULTICLASS | BATCH_SIZE: 1024 | 64 - 128 - 64 | without address information | with class weights,4,100,all/Connection.csv,1156.383715391159,77367,9792481,0,0,0.0077657314103042815,0.007838722541623742,1.0,"=""{0: 9792481, 1: 77367, 2: 1748, 3: 8, 4: 68197, 5: 22815}""","=""{1: 9962616}""",29887846,9962616,0.25,1.70%,1.71%,0.015555509758258972
MULTICLASS | BATCH_SIZE: 1024 | 64 - 128 - 64 | without address information | with tweaked class weights,6,100,all/Connection.csv,1620.319164276123,0,0,3402970,30627,0.345526014452429,nan,0.0,"=""{0: 9792700, 1: 77404, 2: 1687, 3: 4, 4: 68057, 5: 22764}""","=""{0: 3461242, 3: 267349, 4: 6234025}""",29887846,9962616,0.25,1.70%,1.71%,0
